productID,product_title,image_url
2645329,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Tea Tree & Neem Face Wash,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-tea-tree-neem-face-wash/p/2645329
2645330,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Sandalwood & Orange Peel Face Wash,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-sandalwood-orange-peel-face-wash/p/2645330
2645331,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Saffron & Honey Face Wash,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-saffron-honey-face-wash/p/2645331
2645334,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Tea Tree & Aloe Vera Sleeping Mask,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-tea-tree-aloe-vera-sleeping-mask/p/2645334
2645335,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Retinol & Hyaluronic Acid Sleeping Mask,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-retinol-hyaluronic-acid-sleeping-mask/p/2645335
2645336,Nykaa Tea Tree & Salicylic Acid Spot Patch + Nykaa Rice Water & Vitamin C Sleeping Mask,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-rice-water-vitamin-c-sleeping-mask/p/2645336
2645338,Nykaa Anti Acne Combo (Spot Patch + Face Wash + Sleeping Mask),https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-nykaa-tea-tree-neem-face-wash-nykaa-tea-tree-aloe-vera-sleeping-mask/p/2645338
2645339,Nykaa Tea Tree & Salicylic Acid Spot Patch for Pimple Care - Pack Of 5,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-pack-of-5/p/2645339
2645340,Nykaa Tea Tree & Salicylic Acid Spot Patch for Pimple Care - Pack Of 10,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-pack-of-10/p/2645340
2659739,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,https://www.nykaa.com/herbal-essences-argan-oil-of-moroccan-shampoo-conditioner-with-free-neem-comb/p/2659739
2662674,Kay Beauty Colour Correcting Primer,https://www.nykaa.com/kay-beauty-colour-correcting-primer/p/2662674
266374,L'Oreal Paris Excellence Fashion Highlights Hair Color,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374
26651,Maybelline New York Fashion Brow Duo Shaper,https://www.nykaa.com/maybelline-fashion-brow-duo-shaper/p/26651
2697394,Nykaa Naturals Charcoal & Bamboo Deep Detox And Cleanse Shampoo - Pack Of 2,https://www.nykaa.com/nykaa-naturals-charcoal-bamboo-deep-detox-and-cleanse-shampoo-pack-of-2/p/2697394
2722137,Nykaa Naturals Hydrating Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,https://www.nykaa.com/nykaa-naturals-hydrating-face-wash-nykaa-tea-tree-salicylic-acid-spot-patch/p/2722137
2722144,Nykaa Naturals Anti-pigmentation Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,https://www.nykaa.com/nykaa-naturals-anti-pigmentation-face-wash-nykaa-tea-tree-salicylic-acid-spot-patch/p/2722144
2722147,Nykaa Naturals Radiance Face Wash + Rice Water & Vitamin C Sleeping Mask Combo,https://www.nykaa.com/nykaa-naturals-radiance-face-wash-rice-water-vitamin-c-sleeping-mask-combo/p/2722147
2722148,Nykaa Naturals Radiance Face Wash + Nykaa Clay It Cool Perfect Glow Clay Mask,https://www.nykaa.com/nykaa-naturals-radiance-face-wash-nykaa-clay-it-cool-perfect-glow-clay-mask/p/2722148
2722149,Nykaa Naturals Radiance Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,https://www.nykaa.com/nykaa-naturals-radiance-face-wash-nykaa-tea-tree-salicylic-acid-spot-patch/p/2722149
2722154,Nykaa Naturals Calming Face Wash + Nykaa Clay It Cool Oil Control Clay Mask,https://www.nykaa.com/nykaa-naturals-calming-face-wash-nykaa-clay-it-cool-oil-control-clay-mask/p/2722154
2722155,Nykaa Naturals Calming Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,https://www.nykaa.com/nykaa-naturals-calming-face-wash-nykaa-tea-tree-salicylic-acid-spot-patch/p/2722155
2722162,Nykaa Naturals Anti-pigmentation & Purifying Skin Face Wash Combo,https://www.nykaa.com/nykaa-naturals-anti-pigmentation-purifying-skin-face-wash-combo/p/2722162
2722163,Nykaa Naturals Anti-pigmentation & Radiant Skin Face Wash Combo,https://www.nykaa.com/nykaa-naturals-anti-pigmentation-radiant-skin-face-wash-combo/p/2722163
2722169,Nykaa Naturals Calming & De-tanning Face Wash Combo,https://www.nykaa.com/nykaa-naturals-calming-de-tanning-face-wash-combo/p/2722169
2722174,Nykaa Naturals Anti-Pigmentation & De-tanning Face Wash Combo - Papaya +Sandalwood & Orange Peel,https://www.nykaa.com/nykaa-naturals-anti-pigmentation-de-tanning-face-wash-combo/p/2722174
277501,Nykaa All Thing Glam Makeup Bag - Golden Hour,https://www.nykaa.com/nykaa-all-thing-glam-makeup-bag-golden-hour/p/277501
277502,Nykaa All Thing Glam Makeup Bag - Pristine White,https://www.nykaa.com/nykaa-all-thing-glam-makeup-bag-pristine-white/p/277502
2777822,Nykaa Naturals 4 Shampoo Combo-Onion+Apple Cider Vinegar+Amla & Curry Leaves+Fermented Rice Water,https://www.nykaa.com/nykaa-naturals-anti-dandruff-hair-growth-anti-hair-fall-and-dry-damaged-hair-repair-shampoo-combo/p/2777822
2783911,Kay Beauty Matteinee Matte Lip Crayon Lipstick Combo - Rom Com & Wee Hours,https://www.nykaa.com/kay-beauty-matteinee-matte-lip-crayon-lipstick-combo-rom-com-wee-hours/p/2783911
2783917,The Ultimate Nude Duo - Kay Beauty Long Stay Matte Lipstick - Debut & Nail Enamel - Nutty 21,https://www.nykaa.com/the-ultimate-nude-duo-kay-beauty-long-stay-matte-lipstick-debut-nail-enamel-nutty-21/p/2783917
2809492,Kay Beauty Pastel Crush Nail Enamel Combo- Tender Lavender + Aspire + Pink Gem,https://www.nykaa.com/kay-beauty-pastel-crush-nail-enamel-combo/p/2809492
2809493,Kay Beauty Paint Your Mood Nail Enamel Combo,https://www.nykaa.com/kay-beauty-paint-your-mood-nail-enamel-combo/p/2809493
2809496,Kay Beauty Nail Nourish Nail Emanel Combo - Carnival & Wine Berry,https://www.nykaa.com/kay-beauty-nail-nourish-nail-emanel-combo-carnival-wine-berry/p/2809496
2809497,Kay Beauty Pastel Perfection Nail Enamel Combo,https://www.nykaa.com/kay-beauty-pastel-perfection-nail-enamel-combo/p/2809497
2809976,Nykaa Naturals Calming Face Wash + Face Scrub + Clay It Cool Oil Control Clay Mask,https://www.nykaa.com/nykaa-naturals-calming-face-wash-face-scrub-clay-it-cool-oil-control-clay-mask/p/2809976
2809991,Nykaa Naturals De-tanning Face Wash + Face Scrub + Clay It Cool Daily Detox Clay Mask,https://www.nykaa.com/nykaa-naturals-de-tanning-face-wash-face-scrub-clay-it-cool-daily-detox-clay-mask/p/2809991
286417,Nykaa Metal Addict Makeup Bag - Blushing Gold,https://www.nykaa.com/nykaa-metal-addict-makeup-bag-blushing-gold/p/286417
288288,Maybelline New York Color Sensational Matte Metallic Lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-matte-metallic-lipstick/p/288288
301196,L'Oreal Paris Casting Creme Gloss Hair Color - 316 + Magic Retouch Instant Root Concealer - 2 Dark Brown,https://www.nykaa.com/l-oreal-paris-casting-creme-gloss-hair-color-316-plum-magic-retouch-instant-root-concealer-2-dark-brown/p/301196
315082,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Blushing Gold,https://www.nykaa.com/nykaa-bling-it-on-mini-travel-size-makeup-bag-blushing-gold/p/315082
315084,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Stormy Goddess,https://www.nykaa.com/nykaa-bling-it-on-mini-travel-size-makeup-bag-stormy-goddess/p/315084
