review_id,product_id,user_id,rating,title,review_text
86,103,U086,5.0,"Makes my hair smooth ,shinny and soft",conditioner felt soft silky shinny pleasant mild fragrance no sulphate parabens feel gentle earlier shampoo purchase conditioner work frizzy dry money
87,103,U087,5.0,Smooth,brand loving result supper
88,103,U088,5.0,The best for dry and frizzy hair,conditioner frizzy dry super soft nourished shiny super frizzy soft shiny nourished frizz dryness
89,103,U089,5.0,Nice,concept bottle plastic initiative conditioner white texture shampoo fragrance amount huge
90,103,U090,5.0,Sooo soft to touch,aloe herbal combination aloe bamboo soft touch felt damage pregnancy conditioner type
91,103,U091,5.0,Makes the hair soft,conditioner week video shoot photo shoot schedule day soft fall whichever set brand aloe bamboo comditioner aloe shampoo
92,103,U092,5.0,Fights off frizzy hair,hand brand herbal essence exceeded expectation bio renew formulation worked provide strength everytime loaded concoction potent aloe eucalyptus work dull frizzy highly recommended
93,103,U093,5.0,Very nourishing,conditioner hydrating nourishing not dry nourishes tames frizz aloe balancing coolness scalp
94,103,U094,5.0,Gives a good Texture to your hair,soft shining not kind harmful chemical give strong root
95,103,U095,5.0,Good one,shampoo generally condition ensure frizz free thicker normal conditioner job pretty feel soft smoother wash
96,103,U096,5.0,Nyc conditioner,conditioner shiny remove hairs treated lusture
97,103,U097,5.0,Works well,conditioned feel shiny lightweight manageable
98,103,U098,5.0,Great conditioner,conditioner conditioner list work worth purchasing
99,103,U099,5.0,Bestest conditioner,conditioner silky add shin super aloe vera conditioner packaging
100,103,U100,5.0,Best for silky shiny hair,reduce hairfall give silky shiny shampoo conditioner superb
101,103,U101,5.0,Love this conditioner,wow conditioner soo dry frizzy soft manageable day
102,103,U102,5.0,Conditioner,shampoo
103,103,U103,5.0,Controls the frizz,wavy curly frizzy work spa
104,103,U104,5.0,Treat for Hairs,ordered brother happy quality improve shining healthier
105,103,U105,5.0,Just perfect,hv brand care palmer loreal proffessional ogx palmer ogx year palmer hv change formula dnt formula orderd amazingly pefect curly shifted bcm rough dry hairfall brittle curly hairs soft nourished lock moisturiser perfectly specially condioner
106,103,U106,5.0,Best conditioner ever,frizzy started
107,103,U107,5.0,Amazing conditioner,conditioner week commendable difference quality forward ordering combo
108,103,U108,5.0,Great,worth purchase softer shinier mild smell
109,103,U109,5.0,Conditioner smooth,soft managable detangles
110,103,U110,5.0,best conditioner,work pretty eucalyptus shampoo herbal essence soft shiny
111,103,U111,5.0,Very good conditioner,conditioner feeling difference silky tangle free
112,103,U112,5.0,Soft and good fragrance,body fragrance shampoo touch softness conditioner thing odour touch soft silky
113,103,U113,5.0,Nice effect on hair,aloe conditioning nourished shine
114,103,U114,5.0,Must try product,conditioner soft manageable reduces frizz breakage fragrance shampoo result
115,103,U115,5.0,It is great!,smell soo bottle huge easily year leave soft
116,103,U116,5.0,Perfect solution,shampoo lock moisture soft shiny
117,103,U117,5.0,The best....!!!,bought conditioner aloe bamboo shampoo miraculously conditioner leave pleasant smell wash
118,103,U118,5.0,Loved the conditioner,shampoo shine frizz free strong
119,103,U119,5.0,Makes hair very soft.,conditioner washing shampoo range thick creamy texture spread making manageable smoother softer notice lesser hairfall comb wash work
120,103,U120,5.0,Amazing,no sulphate no paraben effect range conditioner herbal essence not paraben safe rate
121,103,U121,5.0,Conditioning,dry dull
122,103,U122,5.0,Excellent,smell feel scalp clean not frizzy
123,103,U123,5.0,Smooth and soft hair,conditioner frizzy super soft earlier nothing worked thankfully find nykaa
124,103,U124,1.0,Try sample before you buy,hairfall increase peak
125,103,U125,5.0,Amazing product,conditioner soo silky though chemically treated
126,103,U126,5.0,Aloe and Bamboo Conditioner,ordered aloe bamboo conditioner shampoo combination shine lustre feel super cool apply
127,103,U127,5.0,Great product,bought shampoo conditioner range conditioner making frizz free manageable felt voluminous bouncy
128,103,U128,5.0,Amazing,fragrance quality comditioner moisturise completely shampoo
129,103,U129,5.0,Reduce Frizziness,decent conditioner reduce frizziness
130,103,U130,5.0,Absolutely stunning!,straight fine limp condition weighing rated herbal essence happy nykaa restock variant
131,103,U131,5.0,Herbal Essences Aloe & Bamboo Conditioner,shampoo conditioner amount nourished absolutely range highly recommend
132,103,U132,5.0,Truly Herbal Condition,wonderful conditioner nourishment damage manage frizzy no paraben sulphate herbal
133,103,U133,5.0,Smooth hair,suggested sister suggesting dry frizzy soft frizz free
134,103,U134,5.0,Aloe and Bamboo conditioner,fantastic soothing conditioner aloe vera cooling effect summer heat bamboo extract support nourishment apply mins shampoo wash rinse give result
135,103,U135,5.0,Happy to get my smooth hair back,recently started condition sulphate paraben free dry sulphate paraben recently friend though price costly decide buy listening result happy choice soft silky loving
136,103,U136,1.0,Worst product,hairfall dry
137,103,U137,1.0,Not worth buying,month facing fall frizziness no shine freshness greasy although rinse shampoo
138,103,U138,1.0,Worst shampoo ever,never hairfall give nightmare refuse stop though stopped shampoo loose hell lot expensive tresseme wven lot chemical
139,103,U139,1.0,Unworthy product,not suitable dry experience massive loss
140,103,U140,1.0,Didn’t like it at all,frizzy not work dry frizzy not work cleanser reorder hydrate coconut milk shampoo conditioner worked till
141,103,U141,1.0,Bad product,bad shampoo leave dry
142,103,U142,5.0,Smooth hair and smells amazing.,herbal essences conditioner smell heavenly leave soft
143,103,U143,5.0,So nice product,feeling comfortable quality excellent price range soft smell paraben sulphates quality excellent strong brand
144,103,U144,5.0,Everyone Should try this,lot conditioner experiment result work moisturize wash smell highly recommended
145,103,U145,5.0,Great,awesome soft
146,103,U146,4.0,Aloe and Bamboo,decent gentle conditioner formula conditioner work conditioner optional step care shine contioner week work smoothining treatment respective shampoo serum
147,103,U147,4.0,LOVE THIS CONDITIONER,herb essence conditioner game changer absolutely curly soft manageable recommend
148,103,U148,2.0,Overhyped. Don't believe the positive reviews.,bought project reading positive review high rating waste conditioner not marketing gimmick sls paraben free neither hydrate smoothen detangles dry usual work normal type dry damage dove advance series dove moisture l'oreal protect herbal essence leave dry not detangle smoothen strengthening conditoner not hydrating
149,103,U149,1.0,Not good,nothing dry
150,103,U150,1.0,Not for curly hair,not suit dry frizzy cost entire bottle not
151,103,U151,5.0,Soft and smooth,soft not weigh manage applying conditioner smell soft minty smell tingling cool refreshing feeling scalp soft reccomend no worries anymore
152,103,U152,5.0,Best conditioner for dry frizzy hairs,fan herbal essence shampoo shampoo brand conditioner smell not weigh remove frizziness
153,103,U153,5.0,Good,conditioner recently herbal essence herbal essence potent aloe vera bamboo conditioner feel soft no fall helpful summer
154,103,U154,5.0,Best of the bestest conditioner,thing happened care solution recommended friend dry damage initial usage feel change healed breakage free feel controlled highly recommend ladies type colored work
155,103,U155,5.0,Best conditioner for smooth hair,herbal essence conditioner soft real plant extract giving moisturizer strength hydrate combo herbal essence shampoo leave conditioner minute rinse cold water
156,103,U156,5.0,Amazing conditioner with Aloe and Bamboo extracts,conditioner loving divine smell effective keeping hairs soft detangles easily aloe bamboo extract healthy not parabens sulphate
157,103,U157,5.0,Amazing product,recently started conditioner wash result evident feel soft shiny part fragnance
158,103,U158,5.0,Love this product,absolutely conditioner day soft manageable recommend
159,103,U159,5.0,Superb.,helped nicely itchy scalp buy order family member
160,103,U160,5.0,Must-Try Conditioner!!!,combination herbal essence aloe shampoo silky providing shine
161,103,U161,5.0,Absolutely best,skeptical no parabens sulphates clean ny not surely stand claim ny manageable softer recommend
162,103,U162,5.0,Does the job,pretty condioner leave soft thick conditioner mask work shampoo range
163,103,U163,4.0,Nice one,shampoo smoother manageable fragrance comb
164,103,U164,3.0,Ok ok conditioner,conditioner lesser price
165,103,U165,3.0,Hairfall,give shiny alot hairfall
166,103,U166,3.0,"Soft,smooth and lustrous hair without visiting salon",rid dry unmanageable frizzy mane softer smoother conditioner creamy consistency spread damp fragrance fresh mild wash dosent weight wash feel silky soft add lot shine frizz free manageable styling recommend counterpart shampoo
167,103,U167,3.0,Good for dry hair,shampoo conditioner combo herbal essence starting feel bit dry summer experience pretty feeling soft though washes consistency worth
168,103,U168,3.0,Good product,work shampoo range suitable summer season not hydrating
169,103,U169,3.0,Okay,qty small amt
170,103,U170,3.0,Nice conditioner,conditioner soft sulphate paraben silicone free
171,103,U171,2.0,Liked it,soft scalp oily length not scalp
172,103,U172,2.0,Okayish,conditioner not shampoo dried conditioner led hairfall
173,103,U173,2.0,Its ok!,conditioner nothing aha job rs dive conditioner
174,103,U174,1.0,Don't waste your money on this,not suggest conditioner shampoo not worth penny washing conditioner frizzy hard
175,103,U175,1.0,Not good,waste waste waste not suit feel gel kind hard kind glue dries wash wash dries feel shit
176,103,U176,4.0,Great product,conditioner soft reduce hairfall
177,103,U177,4.0,Good enough,smell conditioner remind forest conditioner nourishing not weigh normal dry normal oily extremely oily extremely dry not enjoy decent conditioner not holy grail
178,103,U178,4.0,Nice conditioner,conditioner softens smoothen weighing not sulphate parabens
179,103,U179,4.0,A must buy!,chemically treated
180,103,U180,5.0,So amazing!,honestly conditioner feel soft shiny conditioner recommended work
181,103,U181,5.0,Good Conditioner,purchase conditioner shampoo prefer conditioner soft manageable shampoo
182,103,U182,5.0,Best for hair nourishment,lot difference manageable blessing dry thought
183,103,U183,5.0,A must conditioner,soft wash effect single shine
184,103,U184,5.0,Wonderful,pleasant smell support nourishing conditioner loving
185,103,U185,5.0,Excellent,herbal essence bamboo conditioner lock moisture healthy texture
